Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,Threads,Run time(sec)
1,0.718,0,0,40,6,50,50,40.4475,1,maps/50map.bmp,,,1,91.8485
1,0.606,0,0,31,15,50,50,34.4384,1,maps/50mapAOR.bmp,,,2,54.3604
1,298.762,0,0,915,639,1000,1000,1116.04,1,maps/1000AOR_wObs.bmp,,,3,38.9182
1,2.217,0,0,79,87,100,100,117.516,1,maps/100map.bmp,,,4,30.1195
1,264.051,0,0,959,503,1000,1000,1082.91,1,maps/1000Geometric.bmp,,,5,25.1657
1,0.91,0,0,32,39,50,50,50.448,1,maps/cross50.bmp,,,6,22.1187
1,0.558,0,0,42,10,50,50,43.1741,1,maps/50map.bmp,,,8,18.9259
1,0.725,0,0,33,19,50,50,38.0789,1,maps/50mapAOR.bmp,,,,
1,263.772,0,0,706,797,1000,1000,1064.73,1,maps/1000AOR_wObs.bmp,,,,
1,2.664,0,0,27,87,100,100,91.0934,1,maps/100map.bmp,,,,
1,243.449,0,0,97,994,1000,1000,998.722,1,maps/1000Geometric.bmp,,,,
1,0.638,0,0,41,41,50,50,57.9828,1,maps/cross50.bmp,,,,
1,0.58,0,0,34,6,50,50,34.5254,1,maps/50map.bmp,,,,
1,0.607,0,0,15,38,50,50,40.8534,1,maps/50mapAOR.bmp,,,,
1,263.466,0,0,950,490,1000,1000,1068.92,1,maps/1000AOR_wObs.bmp,,,,
1,4.412,0,0,3,66,100,100,66.0681,1,maps/100map.bmp,,,,
1,294.74,0,0,276,705,1000,1000,757.1,1,maps/1000Geometric.bmp,,,,
1,1.12,0,0,33,0,50,50,33,1,maps/cross50.bmp,,,,
1,0.678,0,0,32,35,50,50,47.4236,1,maps/50map.bmp,,,,
1,1.07,0,0,24,38,50,50,44.9444,1,maps/50mapAOR.bmp,,,,
1,240.95,0,0,699,412,1000,1000,811.385,1,maps/1000AOR_wObs.bmp,,,,
1,3.655,0,0,95,58,100,100,111.306,1,maps/100map.bmp,,,,
1,295.506,0,0,257,809,1000,1000,848.84,1,maps/1000Geometric.bmp,,,,
1,1.167,0,0,42,49,50,50,64.5368,1,maps/cross50.bmp,,,,
1,0.658,0,0,40,14,50,50,42.3792,1,maps/50map.bmp,,,,
1,0.934,0,0,30,38,50,50,48.4149,1,maps/50mapAOR.bmp,,,,
1,253.296,0,0,162,927,1000,1000,941.049,1,maps/1000AOR_wObs.bmp,,,,
1,5.135,0,0,79,43,100,100,89.9444,1,maps/100map.bmp,,,,
1,298.422,0,0,311,862,1000,1000,916.387,1,maps/1000Geometric.bmp,,,,
1,1.636,0,0,26,31,50,50,40.4599,1,maps/cross50.bmp,,,,
1,0.664,0,0,30,23,50,50,37.8021,1,maps/50map.bmp,,,,
1,0.9,0,0,32,26,50,50,41.2311,1,maps/50mapAOR.bmp,,,,
1,263.095,0,0,689,716,1000,1000,993.668,1,maps/1000AOR_wObs.bmp,,,,
1,4.187,0,0,74,98,100,100,122.801,1,maps/100map.bmp,,,,
1,301.213,0,0,450,720,1000,1000,849.058,1,maps/1000Geometric.bmp,,,,
1,1.14,0,0,4,45,50,50,45.1774,1,maps/cross50.bmp,,,,
1,0.672,0,0,45,27,50,50,52.4786,1,maps/50map.bmp,,,,
1,1.063,0,0,26,27,50,50,37.4833,1,maps/50mapAOR.bmp,,,,
1,247.985,0,0,78,854,1000,1000,857.555,1,maps/1000AOR_wObs.bmp,,,,
1,4.045,0,0,44,60,100,100,74.4043,1,maps/100map.bmp,,,,
1,263.428,0,0,961,979,1000,1000,1371.85,1,maps/1000Geometric.bmp,,,,
1,1.463,0,0,38,48,50,50,61.2209,1,maps/cross50.bmp,,,,
1,0.664,0,0,40,18,50,50,43.8634,1,maps/50map.bmp,,,,
