Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename,,,cores,Total time
1,2.543,0,0,28,46,50,50,53.8516,1,maps/50map.bmp,,,1,141.66
1,0.999,0,0,26,31,50,50,40.4599,1,maps/50mapAOR.bmp,,,2,83.9294
1,463.391,0,0,173,939,1000,1000,954.804,1,maps/1000AOR_wObs.bmp,,,4,52.3041
1,3.841,0,0,8,76,100,100,76.4199,1,maps/100map.bmp,,,6,48.6091
1,443.591,0,0,186,655,1000,1000,680.897,1,maps/1000Geometric.bmp,,,8,47.0609
1,1.171,0,0,12,45,50,50,46.5725,1,maps/cross50.bmp,,,,
1,1.007,0,0,38,27,50,50,46.6154,1,maps/50map.bmp,,,,
1,1.015,0,0,18,39,50,50,42.9535,1,maps/50mapAOR.bmp,,,,
1,438.679,0,0,706,868,1000,1000,1118.87,1,maps/1000AOR_wObs.bmp,,,,
1,4.132,0,0,73,89,100,100,115.109,1,maps/100map.bmp,,,,
1,434.564,0,0,230,771,1000,1000,804.575,1,maps/1000Geometric.bmp,,,,
1,1.185,0,0,43,12,50,50,44.643,1,maps/cross50.bmp,,,,
1,1.001,0,0,11,42,50,50,43.4166,1,maps/50map.bmp,,,,
1,0.986,0,0,25,17,50,50,30.2324,1,maps/50mapAOR.bmp,,,,
1,424.65,0,0,682,371,1000,1000,776.379,1,maps/1000AOR_wObs.bmp,,,,
1,4.175,0,0,54,39,100,100,66.6108,1,maps/100map.bmp,,,,
1,444.668,0,0,707,338,1000,1000,783.641,1,maps/1000Geometric.bmp,,,,
1,1.262,0,0,35,5,50,50,35.3553,1,maps/cross50.bmp,,,,
1,1.044,0,0,35,35,50,50,49.4975,1,maps/50map.bmp,,,,
1,0.998,0,0,9,39,50,50,40.025,1,maps/50mapAOR.bmp,,,,
1,432.175,0,0,938,308,1000,1000,987.273,1,maps/1000AOR_wObs.bmp,,,,
1,4.055,0,0,60,46,100,100,75.6042,1,maps/100map.bmp,,,,
1,443.435,0,0,283,458,1000,1000,538.38,1,maps/1000Geometric.bmp,,,,
1,1.258,0,0,45,38,50,50,58.8982,1,maps/cross50.bmp,,,,
1,1.044,0,0,42,10,50,50,43.1741,1,maps/50map.bmp,,,,
1,0.988,0,0,26,21,50,50,33.4215,1,maps/50mapAOR.bmp,,,,
1,439.129,0,0,883,919,1000,1000,1274.46,1,maps/1000AOR_wObs.bmp,,,,
1,3.957,0,0,79,95,100,100,123.556,1,maps/100map.bmp,,,,
1,431.561,0,0,66,753,1000,1000,755.887,1,maps/1000Geometric.bmp,,,,
1,1.296,0,0,35,19,50,50,39.8246,1,maps/cross50.bmp,,,,
1,1.031,0,0,31,29,50,50,42.45,1,maps/50map.bmp,,,,
1,1,0,0,30,16,50,50,34,1,maps/50mapAOR.bmp,,,,
1,424.66,0,0,954,742,1000,1000,1208.59,1,maps/1000AOR_wObs.bmp,,,,
1,3.918,0,0,48,89,100,100,101.119,1,maps/100map.bmp,,,,
1,422.524,0,0,34,782,1000,1000,782.739,1,maps/1000Geometric.bmp,,,,
1,1.205,0,0,25,35,50,50,43.0116,1,maps/cross50.bmp,,,,
1,1.166,0,0,13,22,50,50,25.5539,1,maps/50map.bmp,,,,
1,0.973,0,0,31,33,50,50,45.2769,1,maps/50mapAOR.bmp,,,,
1,441.365,0,0,744,940,1000,1000,1198.81,1,maps/1000AOR_wObs.bmp,,,,
1,4.017,0,0,70,73,100,100,101.139,1,maps/100map.bmp,,,,
1,435.278,0,0,48,955,1000,1000,956.206,1,maps/1000Geometric.bmp,,,,
1,1.114,0,0,4,32,50,50,32.249,1,maps/cross50.bmp,,,,
1,1.041,0,0,40,42,50,50,58,1,maps/50map.bmp,,,,
1,1.026,0,0,27,27,50,50,38.1838,1,maps/50mapAOR.bmp,,,,
1,422.972,0,0,245,950,1000,1000,981.084,1,maps/1000AOR_wObs.bmp,,,,
1,4.135,0,0,96,3,100,100,96.0469,1,maps/100map.bmp,,,,
1,427.91,0,0,347,813,1000,1000,883.956,1,maps/1000Geometric.bmp,,,,
1,1.257,0,0,49,23,50,50,54.1295,1,maps/cross50.bmp,,,,
1,1.094,0,0,21,41,50,50,46.0652,1,maps/50map.bmp,,,,
1,1.36,0,0,12,33,50,50,35.1141,1,maps/50mapAOR.bmp,,,,
1,425.041,0,0,833,939,1000,1000,1255.23,1,maps/1000AOR_wObs.bmp,,,,
1,4.022,0,0,31,84,100,100,89.5377,1,maps/100map.bmp,,,,
1,428.922,0,0,739,323,1000,1000,806.505,1,maps/1000Geometric.bmp,,,,
1,1.112,0,0,39,11,50,50,40.5216,1,maps/cross50.bmp,,,,
1,1.03,0,0,42,27,50,50,49.93,1,maps/50map.bmp,,,,
1,1.007,0,0,38,16,50,50,41.2311,1,maps/50mapAOR.bmp,,,,
1,429.782,0,0,850,182,1000,1000,869.266,1,maps/1000AOR_wObs.bmp,,,,
1,4.325,0,0,34,71,100,100,78.721,1,maps/100map.bmp,,,,
1,427.393,0,0,880,182,1000,1000,898.623,1,maps/1000Geometric.bmp,,,,
1,1.222,0,0,16,37,50,50,40.3113,1,maps/cross50.bmp,,,,
1,1.035,0,0,23,19,50,50,29.8329,1,maps/50map.bmp,,,,
1,0.986,0,0,33,21,50,50,39.1152,1,maps/50mapAOR.bmp,,,,
1,434.49,0,0,731,457,1000,1000,862.096,1,maps/1000AOR_wObs.bmp,,,,
1,4.029,0,0,32,54,100,100,62.7694,1,maps/100map.bmp,,,,
1,441.079,0,0,465,664,1000,1000,810.63,1,maps/1000Geometric.bmp,,,,
1,1.097,0,0,29,23,50,50,37.0135,1,maps/cross50.bmp,,,,
1,1.025,0,0,22,14,50,50,26.0768,1,maps/50map.bmp,,,,
1,1.01,0,0,25,18,50,50,30.8058,1,maps/50mapAOR.bmp,,,,
1,422.906,0,0,54,852,1000,1000,853.71,1,maps/1000AOR_wObs.bmp,,,,
1,4.199,0,0,41,88,100,100,97.0824,1,maps/100map.bmp,,,,
1,428.841,0,0,328,699,1000,1000,772.13,1,maps/1000Geometric.bmp,,,,
1,1.073,0,0,36,32,50,50,48.1664,1,maps/cross50.bmp,,,,
1,1.021,0,0,34,17,50,50,38.0132,1,maps/50map.bmp,,,,
1,1.105,0,0,23,13,50,50,26.4197,1,maps/50mapAOR.bmp,,,,
1,432.548,0,0,65,663,1000,1000,666.179,1,maps/1000AOR_wObs.bmp,,,,
1,3.819,0,0,58,88,100,100,105.394,1,maps/100map.bmp,,,,
1,426.271,0,0,990,992,1000,1000,1401.49,1,maps/1000Geometric.bmp,,,,
1,1.151,0,0,41,41,50,50,57.9828,1,maps/cross50.bmp,,,,
1,1.086,0,0,46,45,50,50,64.3506,1,maps/50map.bmp,,,,
1,0.99,0,0,39,38,50,50,54.4518,1,maps/50mapAOR.bmp,,,,
1,428.795,0,0,204,944,1000,1000,965.791,1,maps/1000AOR_wObs.bmp,,,,
1,3.877,0,0,53,34,100,100,62.9682,1,maps/100map.bmp,,,,
1,421.114,0,0,382,489,1000,1000,620.52,1,maps/1000Geometric.bmp,,,,
1,1.162,0,0,42,43,50,50,60.1082,1,maps/cross50.bmp,,,,
1,1.03,0,0,35,43,50,50,55.4437,1,maps/50map.bmp,,,,
1,1.036,0,0,14,29,50,50,32.2025,1,maps/50mapAOR.bmp,,,,
1,431.396,0,0,97,737,1000,1000,743.356,1,maps/1000AOR_wObs.bmp,,,,
1,3.953,0,0,54,14,100,100,55.7853,1,maps/100map.bmp,,,,
1,427.961,0,0,310,833,1000,1000,888.813,1,maps/1000Geometric.bmp,,,,
1,1.085,0,0,1,38,50,50,38.0132,1,maps/cross50.bmp,,,,
1,0.99,0,0,39,2,50,50,39.0512,1,maps/50map.bmp,,,,
1,0.968,0,0,37,31,50,50,48.2701,1,maps/50mapAOR.bmp,,,,
1,422.46,0,0,287,894,1000,1000,938.938,1,maps/1000AOR_wObs.bmp,,,,
1,3.828,0,0,94,4,100,100,94.0851,1,maps/100map.bmp,,,,
1,422.491,0,0,268,480,1000,1000,549.749,1,maps/1000Geometric.bmp,,,,
1,1.24,0,0,17,27,50,50,31.9061,1,maps/cross50.bmp,,,,
1,1.146,0,0,40,8,50,50,40.7922,1,maps/50map.bmp,,,,
1,1.07,0,0,21,26,50,50,33.4215,1,maps/50mapAOR.bmp,,,,
1,428.706,0,0,676,761,1000,1000,1017.89,1,maps/1000AOR_wObs.bmp,,,,
1,4.207,0,0,81,54,100,100,97.3499,1,maps/100map.bmp,,,,
1,429.086,0,0,864,991,1000,1000,1314.75,1,maps/1000Geometric.bmp,,,,
1,1.197,0,0,5,48,50,50,48.2597,1,maps/cross50.bmp,,,,
1,1.061,0,0,39,7,50,50,39.6232,1,maps/50map.bmp,,,,
1,1.101,0,0,20,25,50,50,32.0156,1,maps/50mapAOR.bmp,,,,
1,422.911,0,0,713,911,1000,1000,1156.84,1,maps/1000AOR_wObs.bmp,,,,
1,3.935,0,0,12,81,100,100,81.8841,1,maps/100map.bmp,,,,
1,421.959,0,0,300,722,1000,1000,781.847,1,maps/1000Geometric.bmp,,,,
1,1.153,0,0,35,37,50,50,50.9313,1,maps/cross50.bmp,,,,
1,1.084,0,0,13,38,50,50,40.1622,1,maps/50map.bmp,,,,
1,1.008,0,0,21,29,50,50,35.805,1,maps/50mapAOR.bmp,,,,
1,437.242,0,0,864,691,1000,1000,1106.33,1,maps/1000AOR_wObs.bmp,,,,
1,4.048,0,0,73,29,100,100,78.5493,1,maps/100map.bmp,,,,
1,424.418,0,0,978,643,1000,1000,1170.44,1,maps/1000Geometric.bmp,,,,
1,1.16,0,0,38,38,50,50,53.7401,1,maps/cross50.bmp,,,,
1,1.034,0,0,48,32,50,50,57.6888,1,maps/50map.bmp,,,,
1,1.001,0,0,22,24,50,50,32.5576,1,maps/50mapAOR.bmp,,,,
1,432.068,0,0,316,911,1000,1000,964.249,1,maps/1000AOR_wObs.bmp,,,,
1,4.164,0,0,98,50,100,100,110.018,1,maps/100map.bmp,,,,
1,427.662,0,0,686,113,1000,1000,695.245,1,maps/1000Geometric.bmp,,,,
1,1.278,0,0,49,32,50,50,58.5235,1,maps/cross50.bmp,,,,
1,1.166,0,0,48,39,50,50,61.8466,1,maps/50map.bmp,,,,
1,1.175,0,0,39,39,50,50,55.1543,1,maps/50mapAOR.bmp,,,,
1,419.865,0,0,720,947,1000,1000,1189.63,1,maps/1000AOR_wObs.bmp,,,,
1,3.79,0,0,90,40,100,100,98.4886,1,maps/100map.bmp,,,,
1,423.752,0,0,970,831,1000,1000,1277.29,1,maps/1000Geometric.bmp,,,,
1,1.08,0,0,32,20,50,50,37.7359,1,maps/cross50.bmp,,,,
1,1.019,0,0,48,34,50,50,58.8218,1,maps/50map.bmp,,,,
1,0.991,0,0,26,40,50,50,47.7074,1,maps/50mapAOR.bmp,,,,
1,425.056,0,0,942,903,1000,1000,1304.9,1,maps/1000AOR_wObs.bmp,,,,
1,3.912,0,0,16,73,100,100,74.7329,1,maps/100map.bmp,,,,
1,418.612,0,0,693,526,1000,1000,870.014,1,maps/1000Geometric.bmp,,,,
1,1.102,0,0,41,38,50,50,55.9017,1,maps/cross50.bmp,,,,
1,1.012,0,0,22,43,50,50,48.3011,1,maps/50map.bmp,,,,
1,0.99,0,0,15,22,50,50,26.6271,1,maps/50mapAOR.bmp,,,,
1,417.707,0,0,735,606,1000,1000,952.607,1,maps/1000AOR_wObs.bmp,,,,
1,3.797,0,0,84,33,100,100,90.2497,1,maps/100map.bmp,,,,
1,417.446,0,0,965,531,1000,1000,1101.45,1,maps/1000Geometric.bmp,,,,
1,1.089,0,0,43,48,50,50,64.4438,1,maps/cross50.bmp,,,,
1,1,0,0,10,30,50,50,31.6228,1,maps/50map.bmp,,,,
1,0.998,0,0,31,30,50,50,43.1393,1,maps/50mapAOR.bmp,,,,
1,421.892,0,0,827,345,1000,1000,896.077,1,maps/1000AOR_wObs.bmp,,,,
1,4.005,0,0,59,17,100,100,61.4003,1,maps/100map.bmp,,,,
1,420.231,0,0,250,614,1000,1000,662.945,1,maps/1000Geometric.bmp,,,,
1,1.289,0,0,40,24,50,50,46.6476,1,maps/cross50.bmp,,,,
1,1.067,0,0,13,48,50,50,49.7293,1,maps/50map.bmp,,,,
1,0.992,0,0,26,21,50,50,33.4215,1,maps/50mapAOR.bmp,,,,
1,429.927,0,0,761,950,1000,1000,1217.22,1,maps/1000AOR_wObs.bmp,,,,
1,3.905,0,0,84,19,100,100,86.122,1,maps/100map.bmp,,,,
1,422.597,0,0,163,671,1000,1000,690.514,1,maps/1000Geometric.bmp,,,,
1,1.13,0,0,2,38,50,50,38.0526,1,maps/cross50.bmp,,,,
1,0.991,0,0,48,4,50,50,48.1664,1,maps/50map.bmp,,,,
1,0.986,0,0,13,34,50,50,36.4005,1,maps/50mapAOR.bmp,,,,
1,414.153,0,0,625,840,1000,1000,1047.01,1,maps/1000AOR_wObs.bmp,,,,
1,3.821,0,0,18,57,100,100,59.7746,1,maps/100map.bmp,,,,
1,414.967,0,0,636,129,1000,1000,648.951,1,maps/1000Geometric.bmp,,,,
1,1.082,0,0,43,34,50,50,54.8179,1,maps/cross50.bmp,,,,
1,1.025,0,0,48,3,50,50,48.0937,1,maps/50map.bmp,,,,
1,0.989,0,0,32,14,50,50,34.9285,1,maps/50mapAOR.bmp,,,,
1,417.018,0,0,855,267,1000,1000,895.72,1,maps/1000AOR_wObs.bmp,,,,
1,4.008,0,0,52,34,100,100,62.1289,1,maps/100map.bmp,,,,
1,424.647,0,0,510,120,1000,1000,523.927,1,maps/1000Geometric.bmp,,,,
1,1.097,0,0,33,11,50,50,34.7851,1,maps/cross50.bmp,,,,
1,1.009,0,0,38,36,50,50,52.345,1,maps/50map.bmp,,,,
1,1.056,0,0,36,36,50,50,50.9117,1,maps/50mapAOR.bmp,,,,
