Success, Time Elapsed,Xstart,Ystart, Xend,Yend,Xlength, Ylength, PathDist, num threads, Filename
1,3.112,0,0,28,46,50,50,53.8516,8,maps/50map.bmp
1,2.043,0,0,26,31,50,50,40.4599,8,maps/50mapAOR.bmp
1,1974.71,0,0,173,939,1000,1000,954.804,8,maps/1000AOR_wObs.bmp
1,6.679,0,0,8,76,100,100,76.4199,8,maps/100map.bmp
1,1366.57,0,0,186,655,1000,1000,680.897,8,maps/1000Geometric.bmp
1,7.02,0,0,12,45,50,50,46.5725,8,maps/cross50.bmp
1,1.85,0,0,38,27,50,50,46.6154,8,maps/50map.bmp
1,5.462,0,0,18,39,50,50,42.9535,8,maps/50mapAOR.bmp
1,1074.57,0,0,706,868,1000,1000,1118.87,8,maps/1000AOR_wObs.bmp
1,8.425,0,0,73,89,100,100,115.109,8,maps/100map.bmp
1,1201.52,0,0,230,771,1000,1000,804.575,8,maps/1000Geometric.bmp
1,2.213,0,0,43,12,50,50,44.643,8,maps/cross50.bmp
1,2.149,0,0,11,42,50,50,43.4166,8,maps/50map.bmp
1,2.049,0,0,25,17,50,50,30.2324,8,maps/50mapAOR.bmp
1,1084.23,0,0,682,371,1000,1000,776.379,8,maps/1000AOR_wObs.bmp
1,13.308,0,0,54,39,100,100,66.6108,8,maps/100map.bmp
1,1216.48,0,0,707,338,1000,1000,783.641,8,maps/1000Geometric.bmp
1,2.185,0,0,35,5,50,50,35.3553,8,maps/cross50.bmp
1,2.181,0,0,35,35,50,50,49.4975,8,maps/50map.bmp
1,2.105,0,0,9,39,50,50,40.025,8,maps/50mapAOR.bmp
1,1125.9,0,0,938,308,1000,1000,987.273,8,maps/1000AOR_wObs.bmp
1,19.182,0,0,60,46,100,100,75.6042,8,maps/100map.bmp
1,1161.97,0,0,283,458,1000,1000,538.38,8,maps/1000Geometric.bmp
1,1.864,0,0,45,38,50,50,58.8982,8,maps/cross50.bmp
1,1.779,0,0,42,10,50,50,43.1741,8,maps/50map.bmp
1,1.864,0,0,26,21,50,50,33.4215,8,maps/50mapAOR.bmp
1,1117.14,0,0,883,919,1000,1000,1274.46,8,maps/1000AOR_wObs.bmp
1,4.826,0,0,79,95,100,100,123.556,8,maps/100map.bmp
1,1109.62,0,0,66,753,1000,1000,755.887,8,maps/1000Geometric.bmp
1,2.254,0,0,35,19,50,50,39.8246,8,maps/cross50.bmp
1,7.226,0,0,31,29,50,50,42.45,8,maps/50map.bmp
1,9.058,0,0,30,16,50,50,34,8,maps/50mapAOR.bmp
1,1126.24,0,0,954,742,1000,1000,1208.59,8,maps/1000AOR_wObs.bmp
1,4.47,0,0,48,89,100,100,101.119,8,maps/100map.bmp
1,1072.43,0,0,34,782,1000,1000,782.739,8,maps/1000Geometric.bmp
1,3.495,0,0,25,35,50,50,43.0116,8,maps/cross50.bmp
1,2.278,0,0,13,22,50,50,25.5539,8,maps/50map.bmp
1,2.21,0,0,31,33,50,50,45.2769,8,maps/50mapAOR.bmp
1,1188.96,0,0,744,940,1000,1000,1198.81,8,maps/1000AOR_wObs.bmp
1,8.241,0,0,70,73,100,100,101.139,8,maps/100map.bmp
1,1079.36,0,0,48,955,1000,1000,956.206,8,maps/1000Geometric.bmp
1,2.399,0,0,4,32,50,50,32.249,8,maps/cross50.bmp
1,2.72,0,0,40,42,50,50,58,8,maps/50map.bmp
1,2.212,0,0,27,27,50,50,38.1838,8,maps/50mapAOR.bmp
1,1121.86,0,0,245,950,1000,1000,981.084,8,maps/1000AOR_wObs.bmp
1,16.11,0,0,96,3,100,100,96.0469,8,maps/100map.bmp
1,1111.4,0,0,347,813,1000,1000,883.956,8,maps/1000Geometric.bmp
1,2.177,0,0,49,23,50,50,54.1295,8,maps/cross50.bmp
1,1.771,0,0,21,41,50,50,46.0652,8,maps/50map.bmp
1,5.434,0,0,12,33,50,50,35.1141,8,maps/50mapAOR.bmp
1,969.313,0,0,833,939,1000,1000,1255.23,8,maps/1000AOR_wObs.bmp
1,4.679,0,0,31,84,100,100,89.5377,8,maps/100map.bmp
1,1437.85,0,0,739,323,1000,1000,806.505,8,maps/1000Geometric.bmp
1,3.596,0,0,39,11,50,50,40.5216,8,maps/cross50.bmp
1,2.961,0,0,42,27,50,50,49.93,8,maps/50map.bmp
1,9.776,0,0,38,16,50,50,41.2311,8,maps/50mapAOR.bmp
1,1064.73,0,0,850,182,1000,1000,869.266,8,maps/1000AOR_wObs.bmp
1,18.196,0,0,34,71,100,100,78.721,8,maps/100map.bmp
1,1206.68,0,0,880,182,1000,1000,898.623,8,maps/1000Geometric.bmp
1,2.694,0,0,16,37,50,50,40.3113,8,maps/cross50.bmp
1,2.667,0,0,23,19,50,50,29.8329,8,maps/50map.bmp
1,2.63,0,0,33,21,50,50,39.1152,8,maps/50mapAOR.bmp
1,1039.27,0,0,731,457,1000,1000,862.096,8,maps/1000AOR_wObs.bmp
1,8.167,0,0,32,54,100,100,62.7694,8,maps/100map.bmp
1,1256.25,0,0,465,664,1000,1000,810.63,8,maps/1000Geometric.bmp
1,1.773,0,0,29,23,50,50,37.0135,8,maps/cross50.bmp
1,1.419,0,0,22,14,50,50,26.0768,8,maps/50map.bmp
1,1.247,0,0,25,18,50,50,30.8058,8,maps/50mapAOR.bmp
1,1502.83,0,0,54,852,1000,1000,853.71,8,maps/1000AOR_wObs.bmp
1,122.101,0,0,41,88,100,100,97.0824,8,maps/100map.bmp
1,1887.81,0,0,328,699,1000,1000,772.13,8,maps/1000Geometric.bmp
1,16.664,0,0,36,32,50,50,48.1664,8,maps/cross50.bmp
1,4.604,0,0,34,17,50,50,38.0132,8,maps/50map.bmp
1,2.461,0,0,23,13,50,50,26.4197,8,maps/50mapAOR.bmp
1,1169.18,0,0,65,663,1000,1000,666.179,8,maps/1000AOR_wObs.bmp
1,7.341,0,0,58,88,100,100,105.394,8,maps/100map.bmp
1,1755.98,0,0,990,992,1000,1000,1401.49,8,maps/1000Geometric.bmp
1,2.188,0,0,41,41,50,50,57.9828,8,maps/cross50.bmp
1,1.864,0,0,46,45,50,50,64.3506,8,maps/50map.bmp
1,5.871,0,0,39,38,50,50,54.4518,8,maps/50mapAOR.bmp
1,1051.64,0,0,204,944,1000,1000,965.791,8,maps/1000AOR_wObs.bmp
1,8.855,0,0,53,34,100,100,62.9682,8,maps/100map.bmp
